intExpID,Column,total_users,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,Seg_Dur,Codec,Width,Height,Resolutions,FPS,Play_Pos,RTT,Protocol,Clae,Duanmu,Yin,Yu,P1203,log_Clae,log_Duanmu,log_Yin,log_Yu,log_P1203,intUser,port,rtt_qos,tp_qos,p_qos
50,1,3,58,108735,2845,0,4375,5107,7266,1816520,8185,exponential,2000,h264,1920,1080,1920x1080,24,114000,27.902,HTTP/1.1,5.032,77.516,242924.939,4.313,4.866,0.7017406324,1.889391354,5.385472102,0.6347794581,0.6871721046,2,37748,13.366,650834.8657,604
50,1,3,58,108712,2845,0,4375,5107,7266,1816520,8168,exponential,2000,h264,1920,1080,1920x1080,24,114000,34.438,HTTP/1.1,5.032,77.516,242924.939,4.313,4.866,0.7017406324,1.889391354,5.385472102,0.6347794581,0.6871721046,3,52922,14.649,653785.724,596
52,5,3,60,115362,260,0,4375,18781,2441,610383,5595,exponential,2000,h264,1920,1080,1920x1080,24,118000,20.914,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,1,55452,1.002,2790844.147,101
52,5,3,60,115877,270,0,4375,18085,2441,610383,5077,exponential,2000,h264,1920,1080,1920x1080,24,118000,22.675,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,2,45048,0.149,2863508.678,102
52,5,3,60,113534,671,0,4375,7277,2441,610383,7291,exponential,2000,h264,1920,1080,1920x1080,24,118000,54.846,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,3,60212,28.557,1076898.928,126
54,1,2,33,45035,770,0,4375,11782,4536,1134060,21857,exponential,2000,h264,1920,1080,1920x1080,24,64000,22.84,HTTP/1.1,4.674,77.28,132968.037,4.26,4.866,0.6696887081,1.888067113,5.123747257,0.6294095991,0.6871721046,1,48556,8.606,1557564.656,171
54,1,2,60,92199,420,0,4375,11626,2441,610383,28705,exponential,2000,h264,1920,1080,1920x1080,24,118000,15.087,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,1,48774,8.814,1638731.217,157
54,1,2,33,45206,1047,0,4375,8665,4536,1134060,21708,exponential,2000,h264,1920,1080,1920x1080,24,64000,14.993,HTTP/1.1,4.829,77.034,134484.336,4.275,4.866,0.6838572054,1.886682449,5.128671703,0.6309361191,0.6871721046,2,38144,0.058,1132531.973,275
58,5,3,60,99258,442,0,4375,11047,2441,610383,21539,average,2000,h264,1920,1080,1920x1080,24,118000,28.19,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,3,48966,7.905,1553855.08,83
61,4,2,60,102321,374,0,4375,13056,2441,610383,18772,average,2000,h264,1920,1080,1920x1080,24,118000,21.488,HTTP/1.1,5.004,77.643,251093.55,4.312,4.866,0.699317301,1.890102307,5.399835557,0.6346787522,0.6871721046,1,42236,0.248,1902697.279,138
61,4,2,58,95036,2018,0,4375,7201,7266,1816520,22042,average,2000,h264,1920,1080,1920x1080,24,114000,16.797,HTTP/1.1,5.032,77.516,242924.939,4.313,4.866,0.7017406324,1.889391354,5.385472102,0.6347794581,0.6871721046,2,56346,4.06,922633.6483,450
64,5,2,60,98554,420,0,4375,11626,2441,610383,22652,exponential,2000,h264,1920,1080,1920x1080,24,118000,23.115,HTTP/1.1,4.99,76.703,250636.952,4.304,4.866,0.6981005456,1.88481235,5.3990451,0.6338722627,0.6871721046,1,53480,0.232,3089741.617,68
66,2,2,58,88402,161,0,4375,90261,7266,1816520,28628,exponential,2000,h264,1920,1080,1920x1080,24,114000,39.536,HTTP/1.1,5.032,77.516,242924.939,4.313,4.866,0.7017406324,1.889391354,5.385472102,0.6347794581,0.6871721046,1,49346,14.599,19430427.81,175
66,2,2,58,91479,2021,0,4375,7190,7266,1816520,25521,exponential,2000,h264,1920,1080,1920x1080,24,114000,17.488,HTTP/1.1,5.032,77.516,242924.939,4.313,4.866,0.7017406324,1.889391354,5.385472102,0.6347794581,0.6871721046,2,38942,2.984,923776.4727,483
43,1,2,59,91288,1941,0,4375,5476,5314,1328639,27963,average,2000,h264,1920,1080,1920x1080,24,116000,20.104,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,1,45604,8.768,704217.6866,370
43,1,2,59,92259,89,0,4375,119428,5314,1328639,26980,average,2000,h264,1920,1080,1920x1080,24,116000,14.937,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,2,35202,3.921,25737197.86,107
46,1,3,59,111990,1716,0,4375,6194,5314,1328639,7082,average,2000,h264,1920,1080,1920x1080,24,116000,42.063,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,1,46428,15.711,816880.1183,287
46,1,3,59,114604,899,0,4375,11823,5314,1328639,4393,average,2000,h264,1920,1080,1920x1080,24,116000,15.716,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,2,36028,0.066,1585078.212,183
46,1,3,59,108790,2609,0,4375,4074,5314,1328639,10262,average,2000,h264,1920,1080,1920x1080,24,116000,40.93,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,3,51176,14.424,523126.01,460
49,4,2,57,71555,1894,0,4375,9101,8619,2154759,43362,exponential,2000,h264,1920,1080,1920x1080,24,112000,10.866,HTTP/1.1,5.024,77.508,238549.92,4.312,4.865,0.7010496307,1.889346531,5.377579275,0.6346787522,0.6870828446,1,51026,1.538,1158227.399,515
49,4,2,59,76213,611,0,4375,17396,5314,1328639,42629,exponential,2000,h264,1920,1080,1920x1080,24,116000,14.081,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,2,40642,0.064,2322182.945,106
50,1,3,57,100714,3022,0,4375,5704,8619,2154759,14092,exponential,2000,h264,1920,1080,1920x1080,24,112000,24.444,HTTP/1.1,5.024,77.508,238549.92,4.312,4.865,0.7010496307,1.889346531,5.377579275,0.6346787522,0.6870828446,1,48132,25.822,724642.2914,579
50,1,3,57,104719,2647,0,4375,6512,8619,2154759,10201,exponential,2000,h264,1920,1080,1920x1080,24,112000,46.058,HTTP/1.1,5.024,77.508,238549.92,4.312,4.865,0.7010496307,1.889346531,5.377579275,0.6346787522,0.6870828446,2,37734,12.624,840224.7218,460
50,1,3,57,104695,2525,0,4375,6826,8619,2154759,10185,exponential,2000,h264,1920,1080,1920x1080,24,112000,38.915,HTTP/1.1,5.024,77.508,238549.92,4.312,4.865,0.7010496307,1.889346531,5.377579275,0.6346787522,0.6870828446,3,52910,15.427,880036.1001,443
52,5,3,59,113291,666,0,4375,15959,5314,1328639,5665,exponential,2000,h264,1920,1080,1920x1080,24,116000,20.174,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,1,55442,0.195,2272095.794,116
52,5,3,59,113854,1232,0,4375,8627,5314,1328639,5099,exponential,2000,h264,1920,1080,1920x1080,24,116000,46.142,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,2,45036,12.016,1163229.577,301
52,5,3,59,111200,1049,0,4375,10132,5314,1328639,7625,exponential,2000,h264,1920,1080,1920x1080,24,116000,60.876,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,3,60200,13.733,1412316.8,264
53,5,2,59,86635,607,0,4375,17510,5314,1328639,32167,average,2000,h264,1920,1080,1920x1080,24,116000,26.843,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,1,51054,6.356,2448799.338,118
53,5,2,59,86923,949,0,4375,11200,5314,1328639,31863,average,2000,h264,1920,1080,1920x1080,24,116000,20.664,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,2,36950,0.163,1497013.55,265
54,1,2,59,90725,1224,0,4375,8683,5314,1328639,28179,exponential,2000,h264,1920,1080,1920x1080,24,116000,22.786,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,1,48768,7.611,1134609.851,358
58,5,3,59,97091,488,0,4375,21780,5314,1328639,21705,average,2000,h264,1920,1080,1920x1080,24,116000,19.409,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,3,48954,0.1,2980281.911,207
61,4,2,59,100326,242,0,4375,43921,5314,1328639,18767,average,2000,h264,1920,1080,1920x1080,24,116000,15.886,HTTP/1.1,4.996,77.636,246718.531,4.311,4.865,0.6986224297,1.890063151,5.392201771,0.6345780229,0.6870828446,1,42232,0.179,6755373.338,167
61,4,2,57,91339,1464,0,4375,11774,8619,2154759,23739,average,2000,h264,1920,1080,1920x1080,24,112000,26.748,HTTP/1.1,5.024,77.508,238549.92,4.312,4.865,0.7010496307,1.889346531,5.377579275,0.6346787522,0.6870828446,2,56340,7.157,1541272.435,307
64,5,2,59,96164,565,0,4375,18812,5314,1328639,23042,exponential,2000,h264,1920,1080,1920x1080,24,116000,45.848,HTTP/1.1,4.982,76.694,246261.933,4.303,4.865,0.6974037232,1.884761389,5.391397284,0.6337713461,0.6870828446,1,53472,0.749,2980876.903,204
66,2,2,57,87430,2264,0,4375,7613,8619,2154759,27599,exponential,2000,h264,1920,1080,1920x1080,24,112000,42.143,HTTP/1.1,5.024,77.508,238549.92,4.312,4.865,0.7010496307,1.889346531,5.377579275,0.6346787522,0.6870828446,1,49338,13.676,981521.748,567
66,2,2,57,88339,1092,0,4375,15785,8619,2154759,26661,exponential,2000,h264,1920,1080,1920x1080,24,112000,22.57,HTTP/1.1,5.024,77.508,238549.92,4.312,4.865,0.7010496307,1.889346531,5.377579275,0.6346787522,0.6870828446,2,38934,10.758,2055495.941,255
43,1,2,58,88243,745,0,4375,19506,7266,1816520,29007,average,2000,h264,1920,1080,1920x1080,24,114000,12.339,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,1,45594,13.944,2544703.137,364
43,1,2,58,91000,1647,0,4375,8823,7266,1816520,26239,average,2000,h264,1920,1080,1920x1080,24,114000,51.364,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,2,35198,12.286,1153742.346,286
44,2,2,56,108666,497,0,4375,38441,9552,2388192,4475,average,2000,h264,1920,1080,1920x1080,24,110000,21.975,HTTP/1.1,5.016,77.5,234174.901,4.311,4.864,0.7003575278,1.889301703,5.369540345,0.6345780229,0.6869935663,1,47274,0.196,5496147.845,195
46,1,3,58,109046,2819,0,4375,5155,7266,1816520,8026,average,2000,h264,1920,1080,1920x1080,24,114000,42.383,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,1,46416,15.11,660576.8951,539
46,1,3,58,112673,2417,0,4375,6012,7266,1816520,4324,average,2000,h264,1920,1080,1920x1080,24,114000,32.722,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,2,36016,10.766,769507.5519,413
46,1,3,58,105062,2867,0,4375,5068,7266,1816520,11989,average,2000,h264,1920,1080,1920x1080,24,114000,48.788,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,3,51166,17.279,656579.7477,468
49,4,2,56,68547,614,0,4375,31116,9552,2388192,44370,exponential,2000,h264,1920,1080,1920x1080,24,110000,24.883,HTTP/1.1,5.016,77.5,234174.901,4.311,4.864,0.7003575278,1.889301703,5.369540345,0.6345780229,0.6869935663,1,51022,10.672,4225888.069,207
49,4,2,58,74479,817,0,4375,17787,7266,1816520,42363,exponential,2000,h264,1920,1080,1920x1080,24,114000,12.34,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,2,40634,5.646,2311086.376,332
50,1,3,56,96695,2871,0,4375,6654,9552,2388192,16110,exponential,2000,h264,1920,1080,1920x1080,24,110000,29.151,HTTP/1.1,5.016,77.5,234174.901,4.311,4.864,0.7003575278,1.889301703,5.369540345,0.6345780229,0.6869935663,1,48120,13.538,848669.9741,624
50,1,3,56,100765,3168,0,4375,6030,9552,2388192,12154,exponential,2000,h264,1920,1080,1920x1080,24,110000,17.966,HTTP/1.1,5.016,77.5,234174.901,4.311,4.864,0.7003575278,1.889301703,5.369540345,0.6345780229,0.6869935663,2,37718,0.165,769917.9059,516
50,1,3,56,101123,3446,0,4375,5544,9552,2388192,11756,exponential,2000,h264,1920,1080,1920x1080,24,110000,40.064,HTTP/1.1,5.016,77.5,234174.901,4.311,4.864,0.7003575278,1.889301703,5.369540345,0.6345780229,0.6869935663,3,52898,26.678,708827.5167,656
52,5,3,58,110811,1047,0,4375,13879,7266,1816520,6144,exponential,2000,h264,1920,1080,1920x1080,24,114000,32.466,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,1,55432,6.519,1835984.279,200
52,5,3,58,110863,1460,0,4375,9953,7266,1816520,6090,exponential,2000,h264,1920,1080,1920x1080,24,114000,19.626,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,2,45020,0.095,1281855.077,371
52,5,3,58,108480,848,0,4375,17136,7266,1816520,8344,exponential,2000,h264,1920,1080,1920x1080,24,114000,48.15,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,3,60188,7.541,2615331.13,289
53,5,2,58,84340,65,0,4375,223571,7266,1816520,32461,average,2000,h264,1920,1080,1920x1080,24,114000,28.793,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,1,51046,0.102,590409149.9,94
53,5,2,58,84342,278,0,4375,52273,7266,1816520,32443,average,2000,h264,1920,1080,1920x1080,24,114000,15.158,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,2,36942,0.28,7506373.256,202
54,1,2,58,88455,1208,0,4375,12029,7266,1816520,28448,exponential,2000,h264,1920,1080,1920x1080,24,114000,9.127,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,1,48758,14.077,1539328.718,425
58,5,3,58,94852,735,0,4375,19771,7266,1816520,21944,average,2000,h264,1920,1080,1920x1080,24,114000,20.091,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,3,48942,0.095,2681786.483,129
61,4,2,58,98354,2097,0,4375,6929,7266,1816520,18738,average,2000,h264,1920,1080,1920x1080,24,114000,21.169,HTTP/1.1,4.988,77.628,242343.512,4.309,4.864,0.6979264448,1.890018397,5.384431397,0.6343764941,0.6869935663,1,42220,10.012,1763533.892,351
61,4,2,56,88250,477,0,4375,40053,9552,2388192,24828,average,2000,h264,1920,1080,1920x1080,24,110000,17.083,HTTP/1.1,5.016,77.5,234174.901,4.311,4.864,0.7003575278,1.889301703,5.369540345,0.6345780229,0.6869935663,2,56332,3.523,5466473.344,280
